Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),37.41,4.39,387.46,1532006.01,16.37,18.74,21.27,24.99,30.96,41.44,59.20,71.29,133.08,24.88
Error Input Sequence Length (tokens),83023.00,82721.00,83211.00,249069.00,82729.32,82762.60,82804.20,82929.00,83137.00,83174.00,83196.20,83203.60,83209.52,215.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,230.74,13.00,2996.00,9450476.00,28.00,30.00,30.00,30.00,77.00,232.00,596.40,1019.20,2132.76,395.35
HTTP Chunks Sent,1.00,1.00,1.00,40957.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,4.93,597.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Connection Overhead (ms),0.02,0.00,9.22,914.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Connection Reused (ratio),0.99,0.00,1.00,40626.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.09
HTTP Data Received (KB),56.94,3.57,735.41,2331996.88,7.19,7.66,7.67,7.68,19.19,57.25,146.75,250.31,523.96,96.93
HTTP Data Sent (KB),160.30,87.06,357.71,6565205.02,92.25,100.42,107.72,126.86,155.98,188.57,217.75,236.58,270.12,42.19
HTTP DNS Lookup (ms),0.01,0.00,4.28,316.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Duration (excl. conn) (ms),7112.96,103.47,155976.32,291325322.87,372.04,598.15,784.55,1155.31,2272.48,6887.36,18072.11,31033.40,69015.95,12919.29
HTTP Receiving (ms),6956.15,44.04,155693.92,284903166.80,279.30,483.85,657.53,992.46,2113.27,6721.22,17910.74,30876.74,68835.77,12913.21
HTTP Sending (ms),0.20,0.10,5.40,8098.57,0.13,0.14,0.14,0.15,0.17,0.20,0.23,0.27,0.79,0.21
HTTP Total Time (ms),7112.98,103.47,155976.32,291326237.46,372.04,598.15,784.79,1155.31,2272.48,6887.36,18072.11,31033.40,69015.95,12919.29
HTTP Waiting (TTFB) (ms),156.60,38.22,629.94,6414057.50,67.69,84.99,96.45,118.00,145.63,182.21,229.68,266.10,351.53,57.51
Input Sequence Length (tokens),36950.59,20240.00,82535.00,1513385465.00,21354.68,23236.80,24906.00,29263.00,35949.00,43442.00,50179.40,54536.00,62241.72,9691.29
Inter Chunk Latency (ms),30.67,0.00,425.39,284892172.26,1.37,4.53,10.27,17.64,26.79,35.39,51.90,74.77,127.37,23.97
Inter Token Latency (ms),30.25,1.52,228.24,1239103.26,6.22,12.49,15.33,22.45,30.35,37.66,44.14,50.38,57.85,11.34
OSL Mismatch Diff % (%),-0.58,-87.71,4.05,-23585.33,-7.80,-3.33,-1.82,0.00,0.00,0.00,0.00,0.00,0.00,2.20
Output Sequence Length (tokens),227.21,16.00,2953.00,9305871.00,30.00,30.00,30.00,30.00,77.00,231.00,589.00,999.20,2048.44,383.95
Output Token Count (tokens),227.21,16.00,2953.00,9305871.00,30.00,30.00,30.00,30.00,77.00,231.00,589.00,999.20,2048.44,383.95
Output Token Throughput Per User (tokens/sec/user),41.21,4.38,658.59,1687986.75,17.29,19.85,22.65,26.55,32.95,44.55,65.22,80.05,160.90,33.53
Prefill Throughput Per User (tokens/sec/user),256792.62,47370.89,767558.75,10517455279.22,95409.61,130251.90,151907.11,192425.24,247002.11,309921.69,373391.40,415828.94,512138.41,88749.14
Request Latency (ms),7112.82,103.57,155976.39,291319704.67,372.22,598.23,784.66,1155.38,2272.61,6887.45,18072.18,31033.57,69016.03,12918.97
Time to First Output Token (ms),156.93,38.87,630.18,6427532.40,68.18,85.30,96.74,118.33,145.95,182.54,230.10,266.43,351.81,57.52
Time to First Token (ms),156.93,38.87,630.18,6427532.40,68.18,85.30,96.74,118.33,145.95,182.54,230.10,266.43,351.81,57.52
Time to Second Token (ms),11.93,0.00,307.58,488521.06,0.54,0.82,1.03,1.76,4.37,13.89,27.95,48.15,101.86,20.37

Metric,Value
Benchmark Duration (sec),1457.48
Error Request Count,3.00
OSL Mismatch Count,1454.00
Output Token Throughput (tokens/sec),6384.89
Request Count,40957.00
Request Throughput (requests/sec),28.10
Total Error Input Sequence Length (tokens),249069.00
Total Input Sequence Length (tokens),1513385465.00
Total Output Sequence Length (tokens),9305871.00
Total Output Tokens (tokens),9305871.00
Total Token Throughput (tokens/sec),1044740.83


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Power Usage (W),580.10,430.62,630.98,27844.79,463.01,511.92,541.18,558.03,590.14,609.53,619.93,626.16,630.69,39.09,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Energy Consumption (MJ),0.83,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Utilization (%),100.00,100.00,100.00,4800.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Memory Used (GB),81.96,81.96,81.96,3934.22,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Temperature (°C),60.98,49.00,67.00,2927.00,49.47,55.00,57.70,59.75,61.50,64.00,64.30,65.00,66.06,3.59,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Memory Utilization (%),63.21,41.00,80.00,3034.00,42.41,46.00,52.40,58.50,64.00,69.25,73.30,76.30,78.59,8.73,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,SM Utilization (%),73.39,29.55,80.25,3522.65,34.86,63.20,70.06,73.32,75.34,77.31,78.83,79.17,79.80,8.87,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,XID Errors (count),0.00,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Power Usage (W),519.90,128.33,614.33,24955.04,257.61,418.49,469.61,501.08,532.57,567.64,586.26,595.20,611.39,74.91,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Energy Consumption (MJ),0.74,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Utilization (%),97.79,0.00,100.00,4694.00,45.12,98.70,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.43,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Memory Used (GB),81.96,81.96,81.96,3934.22,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Temperature (°C),62.33,45.00,70.00,2992.00,46.88,54.40,57.70,59.75,63.50,66.00,67.00,69.00,69.53,4.95,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Memory Utilization (%),53.04,0.00,66.00,2546.00,17.39,39.05,41.70,48.75,55.50,60.00,61.00,64.30,66.00,10.78,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,SM Utilization (%),60.98,24.62,70.67,2926.97,28.20,45.41,55.87,59.68,62.81,64.55,67.55,68.54,70.06,8.39,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
