Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),36.23,4.84,384.31,1484022.07,17.30,19.38,20.74,24.07,31.67,40.75,53.27,63.12,131.41,23.16
Error Input Sequence Length (tokens),83416.00,83379.00,83453.00,166832.00,83379.74,83382.70,83386.40,83397.50,83416.00,83434.50,83445.60,83449.30,83452.26,37.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,232.48,14.00,2999.00,9521899.00,30.00,31.00,32.00,32.00,78.00,233.75,598.30,1019.00,2134.29,395.24
HTTP Chunks Sent,1.00,1.00,1.00,40958.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,3.15,508.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
HTTP Connection Overhead (ms),0.02,0.00,5.14,799.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Connection Reused (ratio),0.99,0.00,1.00,40704.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),56.94,3.33,734.89,2332216.60,7.20,7.66,7.67,7.68,19.18,57.28,146.78,249.75,523.49,96.94
HTTP Data Sent (KB),161.01,87.72,359.33,6594741.54,92.93,101.13,108.46,127.55,156.69,189.36,218.56,237.47,270.55,42.19
HTTP DNS Lookup (ms),0.01,0.00,2.20,291.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Duration (excl. conn) (ms),7166.29,105.89,143321.57,293517045.37,407.01,653.83,809.30,1172.03,2312.45,6934.09,18303.88,31296.85,67130.20,12872.59
HTTP Receiving (ms),7003.53,35.12,143157.58,286850526.45,300.38,526.49,669.57,1009.70,2149.61,6772.78,18140.76,31142.72,66936.25,12867.12
HTTP Sending (ms),0.23,0.09,5.80,9219.66,0.15,0.15,0.16,0.17,0.20,0.22,0.26,0.34,0.82,0.21
HTTP Total Time (ms),7166.31,105.89,143321.57,293517845.06,407.01,653.90,809.30,1172.03,2312.45,6934.09,18303.88,31296.85,67132.02,12872.58
HTTP Waiting (TTFB) (ms),162.54,42.69,598.36,6657299.26,76.07,93.24,103.45,123.75,151.85,187.81,234.34,270.96,352.83,56.44
Input Sequence Length (tokens),36945.23,20240.00,82750.00,1513202924.00,21356.57,23237.00,24909.00,29261.25,35947.00,43437.00,50159.00,54533.45,62195.59,9686.68
Inter Chunk Latency (ms),30.95,0.00,420.48,286825696.19,0.83,4.57,11.24,18.87,27.13,36.90,49.56,72.49,122.56,22.77
Inter Token Latency (ms),30.53,1.21,208.36,1250535.68,6.09,14.26,17.06,22.56,29.42,38.95,45.61,48.51,54.36,10.98
OSL Mismatch Diff % (%),-0.63,-83.26,3.33,-25775.80,-7.77,-3.77,-2.13,0.00,0.00,0.00,0.00,0.00,0.00,2.18
Output Sequence Length (tokens),226.43,21.00,2910.00,9274102.00,30.00,30.00,30.00,30.00,77.00,231.00,588.00,995.00,2051.43,381.36
Output Token Count (tokens),226.43,21.00,2910.00,9274102.00,30.00,30.00,30.00,30.00,77.00,231.00,588.00,995.00,2051.43,381.36
Output Token Throughput Per User (tokens/sec/user),40.16,4.80,829.10,1644786.70,18.40,20.62,21.93,25.67,33.99,44.33,58.63,70.14,164.21,33.73
Prefill Throughput Per User (tokens/sec/user),244293.77,45697.67,657254.60,10005784146.63,95437.28,127384.26,146659.95,185636.37,236887.87,294536.72,351015.65,387438.97,463773.57,80278.03
Request Latency (ms),7165.97,105.93,143321.57,293503691.85,407.05,653.74,809.24,1172.00,2312.15,6934.12,18303.88,31296.84,67117.30,12872.20
Time to First Output Token (ms),163.04,45.25,598.71,6677995.65,76.56,93.69,103.91,124.23,152.34,188.31,234.81,271.41,353.52,56.49
Time to First Token (ms),163.04,45.25,598.71,6677995.65,76.56,93.69,103.91,124.23,152.34,188.31,234.81,271.41,353.52,56.49
Time to Second Token (ms),12.69,0.00,269.92,519710.08,0.00,0.08,0.52,1.25,5.06,15.91,29.88,49.76,106.69,21.19

Metric,Value
Benchmark Duration (sec),1510.84
Error Request Count,2.00
OSL Mismatch Count,1659.00
Output Token Throughput (tokens/sec),6138.39
Request Count,40958.00
Request Throughput (requests/sec),27.11
Total Error Input Sequence Length (tokens),166832.00
Total Input Sequence Length (tokens),1513202924.00
Total Output Sequence Length (tokens),9274102.00
Total Output Tokens (tokens),9274102.00
Total Token Throughput (tokens/sec),1007705.10


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Power Usage (W),598.73,113.86,674.68,30535.31,190.71,489.63,526.07,602.30,622.52,640.08,649.38,660.01,669.10,93.51,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Energy Consumption (MJ),0.92,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Utilization (%),97.14,0.00,100.00,4954.00,27.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,15.30,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Memory Used (GB),81.96,81.96,81.96,4180.11,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Temperature (°C),62.75,38.00,71.00,3200.00,41.50,53.50,58.00,60.50,64.00,66.50,69.00,69.50,70.50,5.93,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Memory Utilization (%),64.39,0.00,86.00,3284.00,14.50,33.00,43.00,58.00,70.00,76.00,78.00,79.00,83.00,16.13,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,SM Utilization (%),76.85,5.17,84.32,3919.25,21.01,55.00,69.50,78.00,80.49,82.30,83.28,83.48,84.31,13.28,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,XID Errors (count),0.00,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Power Usage (W),506.17,125.52,658.10,25814.90,125.99,127.82,333.94,515.19,542.17,576.81,621.96,634.84,650.67,138.86,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Energy Consumption (MJ),0.77,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Utilization (%),90.16,0.00,100.00,4598.00,0.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,30.02,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Memory Used (GB),81.96,81.96,81.96,4180.11,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Temperature (°C),62.75,46.00,72.00,3200.00,46.50,48.00,50.00,61.00,64.00,67.00,68.00,70.00,71.50,6.54,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Memory Utilization (%),49.12,0.00,73.00,2505.00,0.00,0.00,17.00,44.50,56.00,61.50,68.00,70.00,71.50,20.25,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,SM Utilization (%),58.58,0.00,78.32,2987.69,0.00,0.00,27.13,61.62,65.45,68.48,70.61,75.60,77.50,20.82,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
