Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),122.95,24.36,399.30,1258970.59,37.67,51.83,61.49,77.34,100.18,155.02,222.79,260.58,323.95,65.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,230.59,9.00,2987.00,2361197.00,23.00,27.00,29.00,32.00,76.50,229.00,597.00,1021.10,2107.05,394.68
HTTP Chunks Sent,1.00,1.00,1.00,10240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,22.63,97.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
HTTP Connection Overhead (ms),0.02,0.00,44.57,157.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
HTTP Connection Reused (ratio),1.00,0.00,1.00,10197.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),56.62,2.35,729.57,579752.12,5.73,6.47,6.97,7.67,18.74,56.26,146.99,251.35,518.09,97.00
HTTP Data Sent (KB),161.86,88.36,330.91,1657398.86,93.50,102.05,109.27,127.83,157.75,190.39,220.05,239.31,268.88,42.24
HTTP DNS Lookup (ms),0.01,0.00,21.94,59.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),2185.74,104.90,71533.49,22381987.52,136.68,181.61,232.21,369.62,722.27,2056.73,5448.57,9395.56,21014.58,4175.89
HTTP Receiving (ms),2081.72,38.87,71409.27,21316847.42,57.61,86.69,140.25,270.07,612.43,1948.19,5349.15,9300.33,20894.08,4173.73
HTTP Sending (ms),0.21,0.12,23.09,2165.44,0.14,0.15,0.16,0.17,0.19,0.21,0.25,0.29,0.56,0.28
HTTP Total Time (ms),2185.76,104.90,71533.49,22382144.66,136.68,181.67,232.46,369.62,722.27,2056.73,5448.57,9395.56,21014.58,4175.89
HTTP Waiting (TTFB) (ms),103.81,40.76,446.52,1062974.66,50.40,60.60,66.98,77.93,93.87,118.20,150.80,181.73,261.91,40.47
Input Sequence Length (tokens),37090.68,20299.00,76085.00,379808569.00,21429.39,23377.60,25008.70,29294.50,36119.00,43621.75,50503.20,54939.20,61673.05,9708.73
Inter Chunk Latency (ms),9.24,0.00,360.10,21313814.46,0.09,1.27,2.66,3.94,8.16,11.45,16.15,22.38,37.58,8.69
Inter Token Latency (ms),8.76,1.33,38.18,89750.90,1.96,2.55,3.06,5.04,8.50,11.28,14.39,16.70,24.92,4.73
OSL Mismatch Diff % (%),-0.59,-72.57,1.20,-6048.22,-7.75,-3.41,-1.87,0.00,0.00,0.00,0.00,0.00,0.00,2.25
Output Sequence Length (tokens),230.09,24.00,2923.00,2356170.00,30.00,30.00,30.00,30.00,78.00,231.00,598.00,1014.05,2084.22,387.49
Output Token Count (tokens),230.09,24.00,2923.00,2356170.00,30.00,30.00,30.00,30.00,78.00,231.00,598.00,1014.05,2084.22,387.49
Output Token Throughput Per User (tokens/sec/user),159.96,26.19,749.42,1638011.58,40.13,59.87,69.51,88.69,117.68,198.26,326.82,392.17,510.45,106.83
Prefill Throughput Per User (tokens/sec/user),382343.04,54755.79,756114.39,3915192754.61,145370.94,201077.37,238291.88,308837.62,381333.76,454933.75,526526.15,571290.45,634736.13,109686.53
Request Latency (ms),2185.65,104.93,71533.38,22381064.84,136.72,181.62,232.18,369.62,722.30,2056.74,5448.55,9395.53,21014.57,4175.81
Time to First Output Token (ms),104.22,41.30,446.91,1067250.39,50.79,60.97,67.34,78.32,94.29,118.62,151.36,182.09,262.36,40.48
Time to First Token (ms),104.22,41.30,446.91,1067250.39,50.79,60.97,67.34,78.32,94.29,118.62,151.36,182.09,262.36,40.48
Time to Second Token (ms),2.79,0.00,221.65,28577.86,0.00,0.00,0.08,0.27,0.46,0.78,6.04,15.55,41.88,10.17

Metric,Value
Benchmark Duration (sec),620.78
OSL Mismatch Count,380.00
Output Token Throughput (tokens/sec),3795.50
Request Count,10240.00
Request Throughput (requests/sec),16.50
Total Input Sequence Length (tokens),379808569.00
Total Output Sequence Length (tokens),2356170.00
Total Output Tokens (tokens),2356170.00
Total Token Throughput (tokens/sec),615620.73


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Power Usage (W),419.74,224.01,521.20,8814.56,233.98,273.83,339.69,396.66,426.25,485.29,492.68,499.04,516.76,75.50,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Energy Consumption (MJ),0.25,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Utilization (%),92.52,0.00,100.00,1943.00,15.40,77.00,89.00,95.00,100.00,100.00,100.00,100.00,100.00,21.95,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Memory Used (GB),81.94,81.43,81.96,1720.69,81.53,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.12,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,GPU Temperature (°C),53.38,33.00,64.00,1121.00,34.20,39.00,46.00,50.00,54.00,58.00,63.00,63.00,63.80,7.74,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Memory Utilization (%),42.05,0.00,56.00,883.00,3.60,18.00,18.00,41.00,48.00,53.00,55.00,55.00,55.80,15.09,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,SM Utilization (%),47.26,0.00,63.34,992.52,2.29,11.46,32.35,47.54,51.84,54.42,62.15,63.06,63.28,16.13,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,0,NVIDIA H100 80GB HBM3,GPU-924b0da1-1f6a-979e-cd7f-903796bafee6,XID Errors (count),0.00,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Power Usage (W),366.10,128.25,495.88,7688.07,128.98,131.94,172.53,271.20,415.13,444.12,487.27,492.61,495.23,120.66,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Energy Consumption (MJ),0.23,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Utilization (%),77.62,0.00,100.00,1630.00,0.00,0.00,0.00,74.00,100.00,100.00,100.00,100.00,100.00,39.44,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Memory Used (GB),81.96,81.96,81.96,1721.22,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,GPU Temperature (°C),56.10,41.00,64.00,1178.00,42.20,47.00,49.00,53.00,58.00,60.00,63.00,63.00,63.80,6.14,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,Memory Utilization (%),33.19,0.00,62.00,697.00,0.00,0.00,0.00,13.00,40.00,47.00,54.00,54.00,60.40,20.36,ip-10-0-143-121
localhost:9400,1,NVIDIA H100 80GB HBM3,GPU-b74158e1-0a87-7c88-f4cb-a28d4a589f64,SM Utilization (%),39.51,0.00,58.24,829.71,0.26,1.31,12.35,30.65,47.19,51.59,55.32,55.87,57.77,17.87,ip-10-0-143-121
