Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),89.03,21.86,183.68,911686.01,41.11,48.52,53.21,64.28,88.70,113.15,123.88,131.15,146.57,27.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,206.89,6.00,2740.00,2118577.00,15.00,20.00,23.00,27.00,67.00,204.00,545.20,931.05,1916.05,359.61
HTTP Chunks Sent,1.00,1.00,1.00,10240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),53.59,1.96,705.46,548734.13,4.28,5.56,6.28,7.32,17.58,52.90,140.77,239.56,493.14,92.45
HTTP Data Sent (KB),141.07,77.20,288.13,1444592.42,81.40,88.78,95.08,111.37,137.34,166.01,192.22,208.52,234.37,36.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2095.26,268.45,24685.50,21455469.95,381.13,439.65,481.59,582.50,911.33,2078.95,4947.15,8306.57,16632.63,3061.55
HTTP Receiving (ms),1737.26,31.22,24152.67,17789585.71,116.71,149.25,166.37,207.67,548.61,1725.76,4567.91,7934.27,16279.40,3059.44
HTTP Sending (ms),0.19,0.12,0.49,1904.22,0.13,0.14,0.15,0.16,0.19,0.20,0.23,0.24,0.28,0.03
HTTP Total Time (ms),2095.26,268.45,24685.50,21455469.95,381.13,439.65,481.59,582.50,911.33,2078.95,4947.15,8306.57,16632.63,3061.55
HTTP Waiting (TTFB) (ms),357.81,122.22,1579.81,3663980.02,178.44,221.48,247.06,287.06,343.20,412.27,488.30,543.97,651.56,101.98
Input Sequence Length (tokens),37576.16,20565.00,77065.00,384779891.00,21705.78,23672.75,25332.90,29667.50,36597.50,44224.75,51154.20,55668.60,62460.83,9845.63
Inter Chunk Latency (ms),8.46,0.00,686.26,17789108.02,0.81,2.08,4.43,6.14,6.58,7.19,11.88,27.13,45.32,8.29
Inter Token Latency (ms),6.85,1.04,21.36,70129.35,3.88,4.84,5.37,6.16,6.99,7.70,8.02,8.24,9.05,1.12
OSL Mismatch Diff % (%),1.45,-13.33,10.81,14797.79,-1.64,-0.34,-0.16,0.25,1.11,3.33,3.33,3.33,3.33,1.48
Output Sequence Length (tokens),235.43,26.00,2992.00,2410784.00,30.00,31.00,31.00,31.00,79.00,234.00,610.10,1041.00,2158.83,400.92
Output Token Count (tokens),235.43,26.00,2992.00,2410784.00,30.00,31.00,31.00,31.00,79.00,234.00,610.10,1041.00,2158.83,400.92
Output Token Throughput Per User (tokens/sec/user),150.80,46.82,961.32,1544210.54,110.50,121.36,124.72,129.86,143.06,162.39,186.37,206.50,257.48,31.96
Prefill Throughput Per User (tokens/sec/user),110048.86,13163.12,232023.62,1126900276.29,48081.57,61568.64,70434.96,86772.14,108063.66,130645.51,151949.58,166487.25,194368.56,31898.53
Request Latency (ms),2095.31,268.53,24685.59,21456022.30,381.21,439.67,481.68,582.57,911.44,2079.05,4947.26,8306.66,16632.73,3061.54
Time to First Output Token (ms),358.10,122.64,1580.17,3666914.28,178.69,221.78,247.32,287.39,343.47,412.50,488.59,544.24,651.81,101.98
Time to First Token (ms),358.10,122.64,1580.17,3666914.28,178.69,221.78,247.32,287.39,343.47,412.50,488.59,544.24,651.81,101.98
Time to Second Token (ms),0.76,0.00,371.42,7759.41,0.07,0.09,0.10,0.18,0.38,0.77,1.32,1.97,4.96,4.29

Metric,Value
Benchmark Duration (sec),575.87
OSL Mismatch Count,20.00
Output Token Throughput (tokens/sec),4186.34
Request Count,10240.00
Request Throughput (requests/sec),17.78
Total Input Sequence Length (tokens),384779891.00
Total Output Sequence Length (tokens),2410784.00
Total Output Tokens (tokens),2410784.00
Total Token Throughput (tokens/sec),672359.16


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
