Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),58.03,17.81,172.54,1188467.63,24.74,29.36,32.68,40.27,56.93,75.39,83.44,86.30,105.97,20.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,186.81,4.00,2563.00,3825917.00,13.00,19.00,22.00,27.00,60.00,188.00,495.00,823.00,1702.42,320.82
HTTP Chunks Sent,1.00,1.00,1.00,20480.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.39,122.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Connection Overhead (ms),0.01,0.00,2.39,122.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Connection Reused (ratio),1.00,0.00,1.00,20384.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),58.44,1.75,800.28,1196886.38,4.57,6.10,6.99,8.53,18.96,58.90,154.58,257.03,532.00,100.14
HTTP Data Sent (KB),139.92,75.98,288.00,2865470.86,80.58,87.89,94.35,110.78,136.43,164.50,190.23,206.94,235.00,36.76
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3117.10,318.91,34942.96,63838141.09,569.23,688.29,759.69,930.25,1408.23,3149.89,7305.08,11916.04,24143.46,4414.60
HTTP Receiving (ms),2530.99,37.74,34229.81,51834774.40,180.66,232.38,257.44,324.05,801.71,2554.11,6709.11,11281.65,23518.72,4408.30
HTTP Sending (ms),0.20,0.11,2.97,4044.07,0.14,0.15,0.15,0.17,0.19,0.21,0.23,0.25,0.30,0.12
HTTP Total Time (ms),3117.10,320.59,34942.96,63838264.04,569.23,688.29,759.69,930.25,1408.23,3149.89,7305.08,11916.04,24143.46,4414.60
HTTP Waiting (TTFB) (ms),585.90,146.25,1544.43,11999322.62,283.44,350.47,386.95,458.98,558.84,684.20,821.27,915.74,1112.61,175.93
Input Sequence Length (tokens),37491.73,20567.00,77080.00,767830698.00,21717.90,23630.00,25363.90,29718.00,36545.50,44021.25,50934.00,55457.30,62843.84,9798.18
Inter Chunk Latency (ms),13.73,0.00,263.31,51825412.93,1.07,1.94,3.58,7.22,8.74,12.45,32.53,45.26,72.17,14.53
Inter Token Latency (ms),10.34,1.26,20.79,211758.28,5.80,7.38,8.18,9.48,10.69,11.33,11.82,12.32,13.91,1.58
OSL Mismatch Diff % (%),1.43,-24.53,6.67,29335.81,-1.62,-0.36,-0.17,0.23,1.11,3.33,3.33,3.33,3.33,1.51
Output Sequence Length (tokens),232.06,26.00,2992.00,4752653.00,30.00,31.00,31.00,31.00,77.00,234.00,604.00,1015.00,2124.84,393.62
Output Token Count (tokens),232.06,26.00,2992.00,4752653.00,30.00,31.00,31.00,31.00,77.00,234.00,604.00,1015.00,2124.84,393.62
Output Token Throughput Per User (tokens/sec/user),99.56,48.10,795.04,2039074.04,71.87,81.19,84.61,88.27,93.54,105.50,122.26,135.54,172.47,20.09
Prefill Throughput Per User (tokens/sec/user),68240.57,16792.94,179565.31,1397566778.56,28053.20,35722.65,40724.64,51447.62,65901.06,82378.14,98522.05,108698.42,129564.51,22554.84
Request Latency (ms),3117.01,319.10,34942.89,63836424.31,569.20,688.20,759.55,930.24,1408.21,3149.84,7305.02,11916.05,24143.44,4414.60
Time to First Output Token (ms),586.48,146.63,1544.69,12011011.38,283.81,350.94,387.40,459.73,559.40,684.67,821.80,916.30,1113.12,176.06
Time to First Token (ms),586.48,146.63,1544.69,12011011.38,283.81,350.94,387.40,459.73,559.40,684.67,821.80,916.30,1113.12,176.06
Time to Second Token (ms),12.77,0.00,175.60,261619.51,0.60,1.08,1.36,2.00,3.57,10.27,40.33,54.55,87.37,19.96

Metric,Value
Benchmark Duration (sec),759.88
OSL Mismatch Count,43.00
Output Token Throughput (tokens/sec),6254.52
Request Count,20480.00
Request Throughput (requests/sec),26.95
Total Input Sequence Length (tokens),767830698.00
Total Output Sequence Length (tokens),4752653.00
Total Output Tokens (tokens),4752653.00
Total Token Throughput (tokens/sec),1016724.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
